('FCQb?', 1, 0.0029846729958080687)
('FCQbO', 2, 0.006519836999359541)
('FCQb_', 2, 0.005724719005229417)
('FCQbo', 2, 0.006703277002088726)
('FCQeG', 2, 0.005366869998397306)
('FCQeO', 2, 0.0064607780004735105)
('FCQeW', 2, 0.007103887000994291)
('FCQe_', 2, 0.006005301998811774)
('FCQeo', 2, 0.006256033004319761)
('FCQf?', 2, 0.007003122998867184)
('FCQfG', 2, 0.006209251994732767)
('FCQfO', 2, 0.007015662005869672)
('FCQfW', 2, 0.006733002002874855)
('FCQf_', 2, 0.00686394699732773)
('FCQfg', 2, 0.00735116299620131)
('FCQfo', 2, 0.0072988630054169334)
('FCQfw', 3, 0.013200323002820369)
('FCQrO', 2, 0.006913304001500364)
('FCQrW', 2, 0.007670994004001841)
('FCQuW', 2, 0.007283441002073232)
('FCQug', 3, 0.010852179002540652)
('FCQuo', 2, 0.0070747429999755695)
('FCQuw', 3, 0.013077628995233681)
('FCQvO', 2, 0.007136574000469409)
('FCQvW', 2, 0.007098629001120571)
('FCQv_', 2, 0.006902590001118369)
('FCQvg', 3, 0.014319974005047698)
('FCQvo', 2, 0.007559054996818304)
('FCQvw', 3, 0.014541036005539354)
('FCRTo', 2, 0.006810806000430603)
('FCRTw', 3, 0.019057949000853114)
('FCRV?', 2, 0.007297923002624884)
('FCRVO', 2, 0.007971673003339674)
('FCRVW', 2, 0.01483759799884865)
('FCRV_', 2, 0.011081906006438658)
('FCRVg', 3, 0.01259513599507045)
('FCRVo', 2, 0.00937790899479296)
